election_id,voter_id,project_id
2,48404,76
2,48404,1356
2,48404,921
2,48404,1889
2,48404,2109
2,48404,1905
2,48404,1187
2,43778,1211
2,43778,731
2,43778,921
2,43778,1889
2,43778,2220
2,43778,193
2,43778,1827
2,43778,2109
2,43778,1347
2,43778,1905
2,43778,2092
2,43778,191
2,72431,2141
2,72431,76
2,72431,1356
2,72431,921
2,72431,2183
2,72431,2083
2,72431,1889
2,72431,2220
2,72431,193
2,72431,1827
2,72431,2109
2,72431,1347
2,72431,1905
2,72431,1187
2,72431,2092
2,72431,2074
2,78407,2141
2,78407,731
2,78407,76
2,78407,1356
2,78407,921
2,78407,2183
2,78407,433
2,78407,2083
2,78407,192
2,78407,1889
2,78407,2220
2,78407,193
2,78407,1827
2,78407,1347
2,78407,1905
2,78407,2092
2,78407,2074
2,78407,2121
2,78407,191
2,36988,2141
2,36988,731
2,36988,76
2,36988,1356
2,36988,921
2,36988,2183
2,36988,2083
2,36988,1889
2,36988,2220
2,36988,1827
2,36988,2109
2,36988,1905
2,36988,1187
2,36988,2074
2,78899,2141
2,78899,1356
2,78899,921
2,78899,2183
2,78899,433
2,78899,2083
2,78899,192
2,78899,193
2,78899,2109
2,78899,1187
2,78899,2092
2,78899,2074
2,78899,2121
2,55195,1211
2,55195,2141
2,55195,731
2,55195,76
2,55195,2183
2,55195,433
2,55195,2083
2,55195,192
2,55195,1347
2,55195,1187
2,55195,2074
2,56157,1211
2,56157,2141
2,56157,2183
2,56157,433
2,56157,2083
2,56157,192
2,56157,193
2,56157,1827
2,56157,2121
2,56157,191
2,56157,1213
2,33963,433
2,33963,192
2,33963,193
2,33963,191
2,47670,2141
2,47670,731
2,47670,1356
2,47670,921
2,47670,2183
2,47670,433
2,47670,192
2,47670,1889
2,47670,2220
2,47670,193
2,47670,1827
2,47670,1905
2,47670,1187
2,47670,2092
2,47670,2074
2,47670,1213
2,28124,1211
2,28124,76
2,28124,193
2,28124,1347
2,28254,2220
2,28254,2109
2,28254,1213
2,84700,2141
2,84700,731
2,84700,76
2,84700,1356
2,84700,921
2,84700,2183
2,84700,433
2,84700,2083
2,84700,192
2,84700,1889
2,84700,193
2,84700,1827
2,84700,1347
2,84700,2092
2,84700,2121
2,84700,191
2,84700,1213
2,47985,1211
2,47985,2141
2,47985,731
2,47985,1356
2,47985,2183
2,47985,433
2,47985,2083
2,47985,192
2,47985,193
2,47985,1347
2,47985,1187
2,38033,1211
2,38033,731
2,38033,1356
2,38033,921
2,38033,2183
2,38033,2083
2,38033,192
2,38033,1889
2,38033,193
2,38033,1827
2,38033,1347
2,38033,1905
2,38033,2092
2,38033,2074
2,1220,1211
2,1220,2141
2,1220,1356
2,1220,921
2,1220,2183
2,1220,433
2,1220,2083
2,1220,192
2,1220,2220
2,1220,193
2,1220,1187
2,1220,2092
2,418,192
2,418,193
2,418,191
2,42639,1211
2,42639,2183
2,42639,433
2,42639,2083
2,42639,1889
2,42639,2220
2,42639,2109
2,42639,1347
2,42639,1905
2,42639,2092
2,42639,2074
2,42639,191
2,26800,1211
2,26800,2141
2,26800,76
2,26800,1356
2,26800,921
2,26800,2183
2,26800,433
2,26800,1889
2,26800,1905
2,26800,1187
2,26800,2074
2,79534,2141
2,79534,76
2,79534,921
2,79534,2183
2,79534,433
2,79534,2083
2,79534,1889
2,79534,193
2,79534,2109
2,79534,1187
2,79534,2092
2,79534,2121
2,82690,2141
2,82690,76
2,82690,921
2,82690,2183
2,82690,433
2,82690,2083
2,82690,1889
2,82690,2220
2,82690,193
2,82690,1827
2,82690,2109
2,82690,2092
2,82690,2121
2,82690,191
2,42196,1213
2,50854,1211
2,50854,2141
2,50854,1356
2,50854,921
2,50854,2183
2,50854,2083
2,50854,1889
2,50854,1187
2,50854,191
2,50854,1213
2,82998,2141
2,82998,76
2,82998,921
2,82998,2183
2,82998,433
2,82998,2083
2,82998,192
2,82998,2220
2,82998,193
2,82998,1827
2,82998,2109
2,82998,2092
2,82998,2074
2,82998,2121
2,82998,191
2,41459,1211
2,41459,2141
2,41459,1356
2,41459,2183
2,41459,433
2,41459,2083
2,41459,2220
2,41459,193
2,41459,2109
2,46722,191
2,7127,2141
2,7127,731
2,7127,76
2,7127,1356
2,7127,921
2,7127,2183
2,7127,433
2,7127,2083
