election_id,voter_id,age,sex
2,74528,71,F
2,34731,11,F
2,49971,29,F
2,43734,39,M
2,54184,23,F
2,70685,36,F
2,52377,57,M
2,42972,38,F
2,51897,31,F
2,29747,62,M
2,55095,31,F
2,68767,11,F
2,48263,55,M
2,62124,62,M
2,66874,35,F
2,86646,38,F
2,13363,13,F
2,81743,38,F
2,44268,40,M
2,85396,6,M
2,12823,28,F
2,55148,54,M
2,72621,8,F
2,19033,25,F
2,16763,35,F
2,69717,36,M
2,55676,39,F
2,37412,40,F
2,49598,35,F
2,67270,43,M
2,33843,8,F
2,44242,38,F
2,48299,28,M
2,29646,44,M
2,25127,43,F
2,48521,40,F
2,68927,37,M
2,79051,31,M
2,25479,11,F
2,45745,45,M
2,47163,24,F
2,56995,21,M
2,12993,48,F
2,50546,46,M
2,9708,48,M
2,25689,39,M
2,42156,47,F
2,50517,38,F
2,55752,35,F
2,25411,40,M
2,86618,39,F
