0,voter_id,age,sex,voting_method,1,approval on project 2296,approval on project 2263,approval on project 1867,approval on project 2037,approval on project 518,approval on project 248,approval on project 1226,approval on project 2205
355,45711,31,F,internet,1,0,1,1,0,0,0,0,0
356,45772,33,F,internet,1,1,1,1,1,0,1,0,0
357,45802,55,F,internet,0,0,0,1,0,0,0,0,0
358,45823,6,F,internet,1,1,1,1,0,1,1,1,1
359,45834,26,F,internet,0,0,0,1,0,0,0,0,0
360,45869,3,F,internet,1,1,1,1,0,1,1,1,1
361,45913,55,F,internet,1,0,0,0,0,0,0,0,0
362,46022,70,M,internet,0,0,0,0,1,1,1,0,0
363,46132,36,M,internet,0,1,0,0,0,0,0,0,0
364,46151,76,F,paper,0,1,1,0,1,1,1,1,0
365,46156,26,M,internet,1,1,0,0,0,0,0,0,0
366,46184,54,F,internet,1,1,1,1,1,1,1,0,1
367,46202,36,F,internet,0,0,0,0,1,1,1,0,0
368,46221,4,F,internet,0,1,1,1,0,0,0,0,1
369,46229,45,F,internet,1,1,1,1,1,0,0,0,0
370,46234,29,F,internet,0,1,0,0,1,1,1,0,0
371,46268,2,F,internet,0,0,0,0,0,1,1,1,0
372,46406,25,M,internet,0,0,0,0,0,0,0,0,1
373,46546,59,F,internet,0,1,0,1,1,1,0,1,0
374,46693,40,M,internet,1,1,1,1,0,0,0,1,0
375,46785,36,M,internet,1,1,1,1,0,0,0,0,0
376,46848,71,M,internet,1,0,1,0,1,1,1,1,0
377,46853,27,F,internet,1,1,1,1,0,1,1,1,1
378,46976,33,F,internet,0,1,0,0,1,0,1,1,0
379,47057,35,M,internet,0,0,0,0,0,1,1,1,0
380,47847,60,M,internet,0,0,0,0,0,0,0,1,0
381,47983,77,F,internet,0,0,0,0,0,1,1,1,0
382,48239,24,F,internet,1,1,0,0,1,1,1,1,0
383,48288,39,M,internet,1,0,0,0,0,0,0,0,0
384,48370,21,M,internet,0,0,0,0,1,0,0,0,0
385,48425,77,F,internet,1,1,1,1,1,1,1,0,0
386,48907,4,F,internet,1,1,1,1,1,1,1,0,0
387,48973,0,F,internet,0,0,0,0,1,0,0,1,0
388,49463,34,F,internet,1,0,0,0,0,1,0,1,0
389,49753,51,F,internet,1,0,1,1,0,1,0,1,0
390,49789,58,M,internet,1,0,0,0,0,0,0,0,0
391,49995,31,F,internet,1,1,0,0,0,1,0,1,0
392,50181,32,F,internet,1,1,0,0,1,1,0,0,0
393,50475,38,M,internet,0,0,0,0,1,0,0,0,0
394,50624,46,M,internet,0,0,0,1,1,1,1,1,0
395,50978,45,F,internet,1,1,1,1,1,1,1,0,1
396,51042,39,F,internet,0,0,0,0,1,0,0,0,0
397,51156,29,M,internet,1,1,1,1,0,1,1,1,1
398,51161,36,M,internet,1,1,0,0,1,1,1,1,1
399,51213,34,F,internet,0,1,1,0,0,1,0,1,1
400,51520,47,M,internet,0,1,1,0,0,1,1,1,1
401,51642,49,F,internet,0,1,0,0,1,1,0,1,0
402,51679,31,F,internet,1,1,1,0,1,0,0,1,0
403,51717,42,F,internet,0,1,0,1,1,0,1,1,0
404,52341,55,F,internet,0,0,0,0,1,0,0,0,0
405,52878,67,F,paper,1,0,1,1,0,0,0,0,1
406,53070,63,F,paper,1,0,0,1,0,1,1,1,0
407,53107,63,F,internet,0,1,0,0,0,0,0,0,0
408,53450,69,F,internet,1,1,1,1,1,1,1,0,1
409,53573,38,M,internet,1,0,0,0,0,0,0,0,0
410,53711,79,F,paper,1,1,1,1,1,1,1,0,0
411,53721,69,F,paper,0,0,0,0,1,0,0,0,0
412,53739,29,F,internet,1,1,1,1,1,1,1,0,1
413,53872,41,F,internet,1,1,0,0,1,1,1,1,1
414,54037,30,M,internet,1,1,1,1,0,1,1,1,1
415,54559,49,F,internet,0,0,0,0,1,0,1,1,0
416,54691,40,F,internet,0,0,0,0,0,1,0,0,0
417,54736,50,F,internet,1,1,1,1,0,1,1,1,1
418,54866,41,M,internet,1,0,1,1,0,0,0,1,0
419,55025,34,F,internet,1,1,1,1,1,0,0,0,0
420,55129,39,F,internet,0,0,0,1,1,0,0,1,0
421,55161,34,M,internet,0,1,0,1,1,0,0,1,1
422,55533,38,M,internet,0,1,1,0,1,0,0,0,0
423,55548,44,F,internet,0,1,1,1,0,0,0,1,0
424,55773,69,F,internet,1,1,1,1,1,1,1,0,1
425,56009,28,F,internet,1,1,1,0,1,0,0,1,0
426,56022,1,F,internet,0,0,0,1,1,1,1,1,1
427,56098,47,F,internet,1,1,1,1,1,1,1,0,0
428,56123,68,F,internet,1,1,0,1,0,1,1,1,0
429,56154,78,M,internet,0,0,1,0,0,0,0,0,0
430,56343,33,F,internet,1,1,1,1,0,1,1,1,1
431,56429,42,F,internet,0,0,1,1,1,0,0,0,0
432,56442,53,M,internet,1,1,1,1,1,1,1,0,1
433,56475,39,M,internet,1,0,1,0,0,0,0,0,0
434,56641,33,F,internet,0,0,0,0,1,1,0,0,0
435,56690,34,M,internet,0,1,0,1,1,1,0,1,0
436,56698,44,M,internet,1,1,0,0,1,1,1,1,0
437,56714,31,M,internet,1,1,1,1,0,0,0,0,0
438,57027,37,F,internet,0,1,0,0,0,0,0,0,0
439,57354,29,M,internet,0,1,1,0,1,0,0,1,0
440,57963,42,F,internet,1,1,0,0,1,1,1,1,0
441,58208,25,F,internet,0,0,0,0,1,1,1,0,0
442,58316,33,F,internet,0,0,0,1,1,1,1,1,1
443,58495,27,F,internet,1,1,1,1,1,0,1,0,1
444,58559,40,F,internet,1,1,1,1,0,0,0,0,1
445,58651,9,M,internet,0,0,0,0,0,0,0,1,0
446,58694,30,F,internet,1,1,1,1,0,0,1,0,1
447,58762,7,M,internet,1,1,1,1,0,1,1,1,1
448,59102,35,F,paper,0,0,0,0,1,0,0,0,0
449,59172,61,M,internet,0,0,0,0,1,0,0,0,0
450,59333,61,M,internet,1,1,1,0,1,0,0,1,0
451,59358,55,F,internet,0,0,0,0,1,0,0,0,0
452,59553,23,F,internet,1,0,1,1,0,0,0,1,0
453,59836,33,M,internet,1,1,1,1,0,1,1,1,1
454,60085,18,M,internet,1,0,1,1,0,0,0,0,0
455,60104,69,M,internet,1,1,1,1,0,0,1,1,0
