election_id,voter_id,age,sex
1,41113,60,F
1,44748,59,F
1,42368,37,M
1,9829,44,F
1,73350,36,F
1,73781,34,M
1,37198,5,F
1,3789,30,F
1,60688,48,M
1,13451,38,M
1,51374,25,F
1,45014,39,F
1,28089,17,M
1,17282,34,F
1,66180,0,F
1,81455,34,M
1,41726,23,M
1,43893,37,F
1,5453,33,F
1,21322,30,F
1,60937,43,F
1,84044,35,M
1,5976,29,F
1,14438,28,M
1,86375,39,M
1,36374,33,F
1,5405,43,F
1,46942,40,F
1,21089,35,M
1,39992,34,F
1,46766,47,M
1,22757,35,F
1,26696,30,M
1,87627,62,M
1,64003,40,F
1,35748,69,F
1,41635,35,M
1,85832,44,F
1,64369,5,F
1,39420,36,F
1,74471,34,M
1,49481,17,M
1,31157,5,M
1,65128,59,M
1,78421,46,M
1,41185,65,F
1,85031,32,F
1,60129,26,F
1,86613,13,F
1,79175,31,F
1,13673,69,F
1,73195,27,F
1,83467,42,M
1,47026,25,F
1,75394,41,F
1,34661,41,M
1,9161,52,M
1,70012,30,M
1,20353,35,M
1,5457,12,M
1,20514,27,F
1,75161,6,M
1,78439,73,F
1,11542,24,M
1,54226,46,F
1,58796,23,M
1,66159,62,M
1,80999,32,M
1,77394,69,F
1,24006,49,M
1,44942,33,F
1,36210,27,F
1,37315,64,F
1,10218,46,F
1,29463,33,F
1,57421,35,F
1,41531,4,F
1,10707,37,M
1,64283,69,M
1,29944,32,F
1,52498,58,F
1,974,45,M
1,43306,74,M
1,50332,36,F
1,54298,39,F
1,25726,9,M
1,31847,39,M
1,35671,1,F
1,72591,38,M
1,16795,54,F
1,83746,37,F
1,69542,41,F
1,85050,27,F
1,40957,38,F
1,9508,61,F
1,59613,33,F
1,61146,9,M
1,72065,48,F
1,47878,57,F
1,81649,50,M
1,68480,25,M
1,4036,59,F
1,34338,28,F
1,13401,6,M
1,55480,37,F
1,72438,30,F
1,51306,38,M
1,1934,43,M
1,31964,38,F
1,75614,36,M
1,78638,34,M
1,30566,63,F
1,72296,44,M
1,85420,34,F
1,42314,34,F
